TICKER,CLUSTER,PERFIL
ABEV3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
ALOS3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
ALUP11.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
AURE3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
B3SA3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
BBAS3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
BBDC4.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
BRAV3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
BRSR6.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
CMIG4.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
CMIN3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
COGN3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
CPFE3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
CSAN3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
CSNA3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
CXSE3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
EGIE3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
ENEV3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
ENGI11.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
EQTL3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
GGBR4.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
GOAU4.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
HAPV3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
HYPE3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
ITSA4.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
KLBN11.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
LREN3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
MGLU3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
MTSA4.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
PCAR3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
PETR4.SA,1,Cluster 1: Titãs da Bolsa (PETR4 / VALE3)
PRIO3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
PSSA3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
RAIL3.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
RAIZ4.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
RDOR3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
RENT3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
SANB11.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
SBSP3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
SUZB3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
TIMS3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
UGPA3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
USIM5.SA,3,Cluster 3: Em Queda / Varejo e Dívida (-19% a.a.)
VALE3.SA,1,Cluster 1: Titãs da Bolsa (PETR4 / VALE3)
VBBR3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
VIVA3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
VIVT3.SA,0,Cluster 0: Blue Chips & Sólidas (+23% a.a.)
WEGE3.SA,2,Cluster 2: Campeãs de Super ROE (+17% a.a.)
