ANO,EMPRESA,TICKER,SETOR,LUCRO_LIQUIDO_BI,PATRIMONIO_LIQUIDO_BI,ROE,DATA,COTACAO_FINAL_ANO
2021,COSAN S.A.,CSAN3.SA,"Agricultura (Açúcar, Álcool e Cana)",14.51918,28.870022,0.502915,2021-12-31,19.94
2021,BCO BRADESCO S.A.,BBDC4.SA,Bancos,39.414765,150.228707,0.262365,2021-12-31,12.31
2021,BCO BRASIL S.A.,BBAS3.SA,Bancos,33.015754,146.110233,0.225965,2021-12-31,10.18
2021,BCO SANTANDER (BRASIL) S.A.,SANB11.SA,Bancos,29.010076,105.974495,0.273746,2021-12-31,22.04
2021,AMBEV S.A.,ABEV3.SA,Bebidas e Fumo,49.708982,84.017617,0.59165,2021-12-31,12.24
2021,"B3 S.A. - BRASIL, BOLSA, BALCÃO",B3SA3.SA,Bolsas de Valores/Mercadorias e Futuros,17.735608,22.41937,0.791084,2021-12-31,9.4
2021,VIVARA PARTICIPAÇÕES S.A.,VIVA3.SA,Comércio (Atacado e Varejo),0.445162,1.392731,0.319633,2021-12-31,23.23
2021,VIBRA ENERGIA S/A,VBBR3.SA,Comércio (Atacado e Varejo),12.804,12.308,1.040299,2021-12-31,15.33
2021,CIA BRASILEIRA DE DISTRIBUICAO,PCAR3.SA,Comércio (Atacado e Varejo),6.572,16.38,0.401221,2021-12-31,21.41
2021,MAGAZINE LUIZA S.A.,MGLU3.SA,Comércio (Atacado e Varejo),0.98237,11.261231,0.087235,2021-12-31,61.85
2021,BR MALLS PARTICIPACOES S.A.,ALOS3.SA,Emp. Adm. Part. - Comércio (Atacado e Varejo),-0.248118,11.239247,-0.022076,2021-12-31,16.3
2021,COGNA EDUCAÇÃO S.A.,COGN3.SA,Emp. Adm. Part. - Educação,-6.318785,13.770664,-0.458858,2021-12-31,2.09
2021,CPFL ENERGIA S.A.,CPFE3.SA,Emp. Adm. Part. - Energia Elétrica,17.121474,16.805878,1.018779,2021-12-31,20.72
2021,ALUPAR INVESTIMENTO S/A,ALUP11.SA,Emp. Adm. Part. - Energia Elétrica,4.178321,10.001723,0.41776,2021-12-31,17.27
2021,ITAÚSA S.A.,ITSA4.SA,Emp. Adm. Part. - Intermediação Financeira,41.27,69.508,0.593745,2021-12-31,4.88
2021,METALURGICA GERDAU S.A.,GOAU4.SA,Emp. Adm. Part. - Metalurgia e Siderurgia,35.875376,43.623062,0.822395,2021-12-31,6.01
2021,WEG S.A.,WEGE3.SA,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",6.053437,14.010672,0.432059,2021-12-31,29.56
2021,SUZANO HOLDING S.A.,SUZB3.SA,Emp. Adm. Part. - Papel e Celulose,-2.097161,15.230792,-0.137692,2021-12-31,52.49
2021,ULTRAPAR PARTICIPACOES S.A.,UGPA3.SA,Emp. Adm. Part. - Petróleo e Gás,1.811575,10.46924,0.173038,2021-12-31,11.79
2021,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,CXSE3.SA,Emp. Adm. Part. - Seguradoras e Corretoras,3.665565,10.558769,0.347158,2021-12-31,5.68
2021,RUMO S.A.,RAIL3.SA,Emp. Adm. Part. - Serviços Transporte e Logística,0.920832,15.018563,0.061313,2021-12-31,16.75
2021,EQUATORIAL S.A.,EQTL3.SA,Energia Elétrica,7.750162,14.604472,0.53067,2021-12-31,20.08
2021,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4.SA,Energia Elétrica,6.61799,19.461765,0.340051,2021-12-31,4.16
2021,VALE S.A.,VALE3.SA,Extração Mineral,292.492,197.058,1.484294,2021-12-31,51.56
2021,CSN MINERAÇÃO S.A.,CMIN3.SA,Extração Mineral,10.401676,13.998289,0.743068,2021-12-31,3.73
2021,METISA METALURGICA TIMBOENSE S.A.,MTSA4.SA,Metalurgia e Siderurgia,0.110387,0.315893,0.349444,2021-12-31,31.5
2021,CIA SIDERURGICA NACIONAL,CSNA3.SA,Metalurgia e Siderurgia,35.776478,23.374389,1.530585,2021-12-31,16.79
2021,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIM5.SA,Metalurgia e Siderurgia,22.703394,24.358503,0.932052,2021-12-31,13.26
2021,GERDAU S.A.,GGBR4.SA,Metalurgia e Siderurgia,17.946992,42.815649,0.419169,2021-12-31,16.12
2021,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4.SA,Petróleo e Gás,227.02,389.581,0.582729,2021-12-31,9.45
2021,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,HAPV3.SA,Serviços Médicos,2.57127,10.572994,0.243192,2021-12-31,155.7
2021,REDE D'OR SÃO LUIZ S.A.,RDOR3.SA,Serviços Médicos,2.137158,14.677939,0.145603,2021-12-31,38.07
2021,TELEFÔNICA BRASIL S.A,VIVT3.SA,Telecomunicações,10.999884,70.006196,0.157127,2021-12-31,18.07
2021,TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.,TIMS3.SA,Telecomunicações,4.64126,25.188425,0.184262,2021-12-31,8.98
2022,COSAN S.A.,CSAN3.SA,"Agricultura (Açúcar, Álcool e Cana)",18.343302,48.169399,0.380808,2022-12-31,16.1
2022,RAIZEN ENERGIA S.A.,RAIZ4.SA,"Agricultura (Açúcar, Álcool e Cana)",1.751984,13.595854,0.128862,2022-12-31,3.44
2022,BCO BRASIL S.A.,BBAS3.SA,Bancos,49.572206,163.077123,0.30398,2022-12-31,13.73
2022,BCO BRADESCO S.A.,BBDC4.SA,Bancos,44.598,158.741264,0.280948,2022-12-31,10.92
2022,BCO SANTANDER (BRASIL) S.A.,SANB11.SA,Bancos,29.898798,110.680176,0.270137,2022-12-31,22.12
2022,AMBEV S.A.,ABEV3.SA,Bebidas e Fumo,56.027746,83.327827,0.672377,2022-12-31,12.13
2022,"B3 S.A. - BRASIL, BOLSA, BALCÃO",B3SA3.SA,Bolsas de Valores/Mercadorias e Futuros,17.887374,20.283143,0.881884,2022-12-31,11.56
2022,VIVARA PARTICIPAÇÕES S.A.,VIVA3.SA,Comércio (Atacado e Varejo),0.659345,1.657953,0.397686,2022-12-31,20.53
2022,VIBRA ENERGIA S/A,VBBR3.SA,Comércio (Atacado e Varejo),8.068,12.613,0.639657,2022-12-31,11.7
2022,LOJAS RENNER S.A.,LREN3.SA,Comércio (Atacado e Varejo),3.849632,10.087515,0.381623,2022-12-31,15.65
2022,CIA BRASILEIRA DE DISTRIBUICAO,PCAR3.SA,Comércio (Atacado e Varejo),1.912,13.733,0.139227,2022-12-31,16.52
2022,MAGAZINE LUIZA S.A.,MGLU3.SA,Comércio (Atacado e Varejo),0.091686,10.648701,0.00861,2022-12-31,23.47
2022,BR MALLS PARTICIPACOES S.A.,ALOS3.SA,Emp. Adm. Part. - Comércio (Atacado e Varejo),1.681068,11.265549,0.149222,2022-12-31,13.04
2022,COGNA EDUCAÇÃO S.A.,COGN3.SA,Emp. Adm. Part. - Educação,-1.053983,13.241388,-0.079598,2022-12-31,1.8
2022,CPFL ENERGIA S.A.,CPFE3.SA,Emp. Adm. Part. - Energia Elétrica,20.145128,17.539944,1.148529,2022-12-31,28.16
2022,ENERGISA S.A.,ENGI11.SA,Emp. Adm. Part. - Energia Elétrica,5.242827,12.483752,0.419972,2022-12-31,33.96
2022,ALUPAR INVESTIMENTO S/A,ALUP11.SA,Emp. Adm. Part. - Energia Elétrica,3.786689,10.371619,0.365101,2022-12-31,21.28
2022,ITAÚSA S.A.,ITSA4.SA,Emp. Adm. Part. - Intermediação Financeira,54.89,76.535,0.717188,2022-12-31,5.47
2022,METALURGICA GERDAU S.A.,GOAU4.SA,Emp. Adm. Part. - Metalurgia e Siderurgia,54.032764,47.289112,1.142605,2022-12-31,7.63
2022,WEG S.A.,WEGE3.SA,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",7.930352,15.248355,0.520079,2022-12-31,35.14
2022,SUZANO HOLDING S.A.,SUZB3.SA,Emp. Adm. Part. - Papel e Celulose,32.026989,33.239904,0.96351,2022-12-31,44.68
2022,ULTRAPAR PARTICIPACOES S.A.,UGPA3.SA,Emp. Adm. Part. - Petróleo e Gás,2.723947,12.174968,0.223733,2022-12-31,10.67
2022,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,CXSE3.SA,Emp. Adm. Part. - Seguradoras e Corretoras,4.848992,10.889112,0.445306,2022-12-31,6.12
2022,RUMO S.A.,RAIL3.SA,Emp. Adm. Part. - Serviços Transporte e Logística,1.339524,15.41045,0.086923,2022-12-31,17.57
2022,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4.SA,Energia Elétrica,7.847236,21.783266,0.360241,2022-12-31,5.5
2022,EQUATORIAL S.A.,EQTL3.SA,Energia Elétrica,6.224512,18.56698,0.335246,2022-12-31,24.61
2022,AUREN ENERGIA S.A.,AURE3.SA,Energia Elétrica,4.416572,15.253078,0.289553,2022-12-31,11.54
2022,ENEVA S.A,ENEV3.SA,Energia Elétrica,1.549066,13.736018,0.112774,2022-12-31,11.93
2022,VALE S.A.,VALE3.SA,Extração Mineral,435.36,194.894,2.23383,2022-12-31,64.42
2022,CSN MINERAÇÃO S.A.,CMIN3.SA,Extração Mineral,9.321264,11.393427,0.818126,2022-12-31,2.79
2022,HYPERA S.A.,HYPE3.SA,Farmacêutico e Higiene,3.028704,10.655441,0.28424,2022-12-31,38.89
2022,METISA METALURGICA TIMBOENSE S.A.,MTSA4.SA,Metalurgia e Siderurgia,0.144955,0.383232,0.378243,2022-12-31,36.67
