DENOM_CIA,ANO_ARQUIVO,VL_CONTA
2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,2021,44981.0
2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,2022,125786.0
2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,2023,-77416.0
2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,2024,-474368.0
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,2021,6403746.0
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,2022,5955308.0
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,2023,10956308.0
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,2024,11403835.0
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,2025,4694561.0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,2021,999592.0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,2022,884868.0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,2023,1138258.0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,2024,206877.0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,2025,-696291.0
AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2021,1474188.0
AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2022,1501466.0
AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2023,1136662.0
AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2024,-1745639.0
ALARES INTERNET PARTICIPAÇÕES S/A,2021,347837.0
ALARES INTERNET PARTICIPAÇÕES S/A,2022,399362.0
ALARES INTERNET PARTICIPAÇÕES S/A,2023,460122.0
ALARES INTERNET PARTICIPAÇÕES S/A,2024,519606.0
ALARES INTERNET PARTICIPAÇÕES S/A,2025,436285.0
ALGAR TELECOM S/A,2021,1606482.0
ALGAR TELECOM S/A,2022,1640399.0
ALGAR TELECOM S/A,2023,1490786.0
