DENOM_CIA,SETOR_ATIV,ANO_ARQUIVO,VL_CONTA_LUCRO,VL_CONTA_REAIS,VL_CONTA_BI,VL_CONTA_PL,ROE,ROE_ENGANOSO
COSAN S.A.,"Agricultura (Açúcar, Álcool e Cana)",2021,14519180.0,14519180000.0,14.51918,28870022.0,0.5029154463408445,False
JBS S.A.,Alimentos,2021,25184602.0,25184602000.0,25.184602,47796720.0,0.5269106750421367,False
BCO BRADESCO S.A.,Bancos,2021,39414765.0,39414765000.0,39.414765,150228707.0,0.26236506848188473,False
BCO BRASIL S.A.,Bancos,2021,33015754.0,33015754000.0,33.015754,146110233.0,0.2259646933832485,False
BCO SANTANDER (BRASIL) S.A.,Bancos,2021,29010076.0,29010076000.0,29.010076,105974495.0,0.27374582912614964,False
AMBEV S.A.,Bebidas e Fumo,2021,49708982.0,49708982000.0,49.708982,84017617.0,0.5916495108400897,False
"B3 S.A. - BRASIL, BOLSA, BALCÃO",Bolsas de Valores/Mercadorias e Futuros,2021,17735608.0,17735608000.0,17.735608,22419370.0,0.7910841384035323,False
VIVARA PARTICIPAÇÕES S.A.,Comércio (Atacado e Varejo),2021,445162380.0,445162380000.0,445.16238,1392731364.0,0.3196326237110576,False
VIBRA ENERGIA S/A,Comércio (Atacado e Varejo),2021,12804000.0,12804000000.0,12.804,12308000.0,1.0402989925251869,False
CIA BRASILEIRA DE DISTRIBUICAO,Comércio (Atacado e Varejo),2021,6572000.0,6572000000.0,6.572,16380000.0,0.40122100122100124,False
MAGAZINE LUIZA S.A.,Comércio (Atacado e Varejo),2021,982370.0,982370000.0,0.98237,11261231.0,0.08723469041706008,False
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,Comércio (Atacado e Varejo),2021,666074.0,666074000.0,0.666074,15910976.0,0.04186254821828655,False
QUALITY SOFTWARE S.A.,Emp. Adm. Part. - Comunicação e Informática,2021,20774533.0,20774533000.0,20.774533,58506511.0,0.35508070204357256,False
ATACADÃO S.A.,Emp. Adm. Part. - Comércio (Atacado e Varejo),2021,12420000.0,12420000000.0,12.42,18396000.0,0.675146771037182,False
BR MALLS PARTICIPACOES S.A.,Emp. Adm. Part. - Comércio (Atacado e Varejo),2021,-248118.0,-248118000.0,-0.248118,11239247.0,-0.02207603409730207,False
CEL PARTICIPAÇÕES S.A. - CELPAR,Emp. Adm. Part. - Educação,2021,875410.0,875410000.0,0.87541,-14142231.0,-0.06190041726796854,True
COGNA EDUCAÇÃO S.A.,Emp. Adm. Part. - Educação,2021,-6318785.0,-6318785000.0,-6.318785,13770664.0,-0.4588584108943476,False
CPFL ENERGIA S.A.,Emp. Adm. Part. - Energia Elétrica,2021,17121474.0,17121474000.0,17.121474,16805878.0,1.018778905809027,False
CENTRAIS ELET BRAS S.A. - ELETROBRAS,Emp. Adm. Part. - Energia Elétrica,2021,12100946.0,12100946000.0,12.100946,76416764.0,0.15835459873699964,False
NEOENERGIA S.A.,Emp. Adm. Part. - Energia Elétrica,2021,6971000.0,6971000000.0,6.971,24238000.0,0.28760623813846026,False
ALUPAR INVESTIMENTO S/A,Emp. Adm. Part. - Energia Elétrica,2021,4178321.0,4178321000.0,4.178321,10001723.0,0.4177601199313358,False
RIO ALTO STL HOLDING I S.A.,Emp. Adm. Part. - Energia Elétrica,2021,-337082.0,-337082000.0,-0.337082,46768918.0,-0.007207393594181503,False
ITAÚSA S.A.,Emp. Adm. Part. - Intermediação Financeira,2021,41270000.0,41270000000.0,41.27,69508000.0,0.5937446049375611,False
METALURGICA GERDAU S.A.,Emp. Adm. Part. - Metalurgia e Siderurgia,2021,35875376.0,35875376000.0,35.875376,43623062.0,0.8223947232314871,False
WEG S.A.,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",2021,6053437.0,6053437000.0,6.053437,14010672.0,0.43205900473581854,False
SUZANO HOLDING S.A.,Emp. Adm. Part. - Papel e Celulose,2021,-2097161.0,-2097161000.0,-2.097161,15230792.0,-0.1376921830460294,False
ULTRAPAR PARTICIPACOES S.A.,Emp. Adm. Part. - Petróleo e Gás,2021,1811575.0,1811575000.0,1.811575,10469240.0,0.17303787094383163,False
CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Emp. Adm. Part. - Seguradoras e Corretoras,2021,3665565.0,3665565000.0,3.665565,10558769.0,0.3471583666618713,False
RUMO S.A.,Emp. Adm. Part. - Serviços Transporte e Logística,2021,920832.0,920832000.0,0.920832,15018563.0,0.06131292321375886,False
AZUL S.A.,Emp. Adm. Part. - Serviços Transporte e Logística,2021,-15047917.0,-15047917000.0,-15.047917,-18333003.0,0.8208102622358159,True
GOL LINHAS AEREAS INTELIGENTES S.A.,Emp. Adm. Part. - Serviços Transporte e Logística,2021,-26158110.0,-26158110000.0,-26.15811,-21053678.0,1.2424484690988435,True
CLARO TELECOM PARTICIPAÇÕES S.A.,Emp. Adm. Part. - Telecomunicações,2021,6928027.0,6928027000.0,6.928027,13783239.0,0.5026414328301207,False
CIA PARANAENSE DE ENERGIA - COPEL,Energia Elétrica,2021,17916704.0,17916704000.0,17.916704,22175235.0,0.8079600509306891,False
ISA ENERGIA BRASIL,Energia Elétrica,2021,12840916.0,12840916000.0,12.840916,14792735.0,0.8680555691695957,False
EDP - ENERGIAS DO BRASIL S.A.,Energia Elétrica,2021,8162930.0,8162930000.0,8.16293,12294012.0,0.6639760885217942,False
EQUATORIAL S.A.,Energia Elétrica,2021,7750162.0,7750162000.0,7.750162,14604472.0,0.53067046860715,False
CIA ENERGETICA DE MINAS GERAIS - CEMIG,Energia Elétrica,2021,6617990.0,6617990000.0,6.61799,19461765.0,0.34005086383480637,False
